#SampleID	Order	Family	Genus.species	Common.name	Diet
SBSD	Artiodactyla	Bovidae	Antidorcas.marsupialis	Springbok	Herbivore
AS2	Artiodactyla	Bovidae	Ovis.ammon	Argall.sheep	Herbivore
AS3	Artiodactyla	Bovidae	Ovis.ammon	Argall.sheep	Herbivore
BH2	Artiodactyla	Bovidae	Ovis.canadensis	Bighorn.sheep	Herbivore
BARB	Artiodactyla	Suidae	Babyrousa.babyrousa	Babirusa	Herbivore
RRH	Artiodactyla	Suidae	Potamochoerus.porcus	Red.river.hog	Herbivore
HY1	Carnivora	Hyaenidae	Crocuta.crocuta	Spotted.hyena	Carnivore
LI1	Carnivora	Pantherinae	Panther.leo	Lion	Carnivore
LI2	Carnivora	Pantherinae	Panther.leo	Lion	Carnivore
LI3	Carnivora	Pantherinae	Panther.leo	Lion	Carnivore
GP	Carnivora	Ursidae	Ailuropoda.melanoleuca	Giant.panda	Herbivore
RP	Carnivora	Ailuridae	Ailurus.fulgens	Red.panda	Herbivore
RPSD	Carnivora	Ailuridae	Ailurus.fulgens	Red.panda	Herbivore
SB	Carnivora	Ursidae	Tremarctos.ornatus	Spectacled.bear	Omnivore
BB1	Carnivora	Ursidae	Ursus.americanus	North.american.bear	Omnivore
BB2	Carnivora	Ursidae	Ursus.americanus	North.american.bear	Omnivore
PB1	Carnivora	Ursidae	Ursus.maritimus	Polar.bear	Carnivore
PB2	Carnivora	Ursidae	Ursus.maritimus	Polar.bear	Carnivore
bat	Chiroptera	Phyllostomidae	Carollia.perspicillata	Sebas.short.tailed.bat	Omnivore
FF	Chiroptera	Pterodidae	Pteropus.capensis	Flying.fox	Omnivore
RHSD	Hyracoidea	Provacavilidae	Procavis.capensis	Rock.hyrax	Herbivore
HH	Insectivora	Erinaceidae	Atelerix.albiventris	Hedgehog	Carnivore
RH	Perissodactyla	Rhinocerotidae	Diceros.bicornis	Black.rhinoceros	Herbivore
SPIM	Primates	Atelidae	Ateles.geoffroy	Black.handed.spider.monkey	Omnivore
MAR	Primates	Callitricidae	Callithrix.geoffroyi	Geoffreys.marmoset	Omnivore
EAC	Primates	Cercopithecidae	Colobus.angolensis	East.angolan.colobus	Herbivore
BAZ	Primates	Cercopithecidae	Papio.hamadryas	Hamadryas.baboon	Omnivore
FL	Primates	Cercopithecidae	Presbytis.francoisi	Francois.langur	Herbivore
GOR	Primates	Hominidae	Gorilla.gorilla	Western.lowland.gorilla	Herbivore
GORSD	Primates	Hominidae	Gorilla.gorilla	Western.lowland.gorilla	Herbivore
CHIMP1	Primates	Hominidae	Pan.troglodytes	Chimpanzee	Omnivore
CHIMP12	Primates	Hominidae	Pan.troglodytes	Chimpanzee	Omnivore
orang1	Primates	Hominidae	Pongo.pygmaeus.abelii	Sumatran.orangutan	Herbivore
orang2	Primates	Hominidae	Pongo.pygmaeus.abelii	Sumatran.orangutan	Herbivore
ML	Primates	Lemuridae	Eulemur.mongoz	Mongoose.lemur	Omnivore
RT	Primates	Lemuridae	Lemur.catta	Ringtailed.lemur	Omnivore
Saki	Primates	Elephanidae	Pithecia.pithecia	Whitefaced.saki	Omnivore
AFEL	Proboscidae	Elephanidae	Loxodonta.africana	African.elephant	Herbivore
AFEL2	Proboscidae	Elephanidae	Loxodonta.africana	African.elephant	Herbivore
AFEL3	Proboscidae	Elephanidae	Loxodonta.africana	African.elephant	Herbivore
SQ	Rodentia	Sciuridae	Callosciurus.prevosti	Prevosts.squirrel	Omnivore
arma	Xenthara	Dasypodidae	Tolypeutes.matacus	Southern.threebanded.armadillo	Carnivore
KO1	Diprotodontia	Macropidea	Macropus.rufus	Red.kangaroo	Herbivore
ECH	Tachyglossidae	Tachyglossidae	Tachyglossidae.aculeatus	Shortbeaked.echidna	Carnivore
